FID_;ID;LAT;LON;New_Greenl;Old_Greenl;Foreign_na;Official_n;Alternativ;RGI_ID;GLIMS_ID;RGI_LON;RGI_LAT;Type
;GGN0108;65.628000000000000;-38.708399999999997;Nattivit Apusiiat;Apusêrsêrpia; ;Nattivit Apusiiat;"Apuseerseerpia; Naddivid Apusiiad; Apuseer"; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0109;65.628799999999998;-52.085299999999997;Qapiarfiup Sermia;Qapiarfiup Sermia; ;Qapiarfiup Sermia; ;RGI40-05.00115;G307874E65600N;-52.126199999999997;65.599999999999994;LGIC
;GGN0110;65.632599999999996;-52.653700000000001;Sermeralak; ; ;Sermeralak; ;RGI40-05.00111;G307352E65626N;-52.648499999999999;65.625900000000001;LGIC
;GGN0111;65.647199999999998;-37.077700000000000;Apusiaajik;Apusiâjik; ;Apusiaajik;Apusiaai;RGI40-05.11158;G322948E65651N;-37.052500000000002;65.651200000000003;LGIC
;GGN0112;65.649000000000001;-52.437300000000000;Sermeralak Kangilleq; ; ;Sermeralak Kangilleq; ;RGI40-05.00355;G307607E65641N;-52.393099999999997;65.641000000000005;LGIC
;GGN0113;65.655100000000004;-36.981499999999997;Apusiaajik Kiatteq;Apusiâjik; ;Apusiaajik Kiatteq;"Apusiaajik; Apusiaai Kiadder";RGI40-05.11117;G323016E65653N;-36.983899999999998;65.652799999999999;LGIC
;GGN0114;65.663200000000003;-51.556800000000003;Aappilanileralak; ; ;Aappilanileralak; ;RGI40-05.00086;G308448E65663N;-51.551699999999997;65.663100000000000;LGIC
;GGN0115;65.703500000000005;-38.741199999999999; ; ;Bussemandgletsjer;Bussemandgletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0116;65.733300000000000;-37.000000000000000;Apuseeq;Apusêq; ;Apuseeq; ;RGI40-05.11219;G322988E65738N;-37.012400000000000;65.737899999999996;LGIC
;GGN0117;65.800899999999999;-38.223599999999998;Apuseerajik Anngittumanngitteq; ;Hobbs Gletsjer;Apuseerajik Anngittumanngitteq;Apuseerngai anngitsumanngitser;RGI40-05.11225;G321802E65782N;-38.197800000000001;65.782200000000003;LGIC
;GGN0118;65.860900000000001;-36.231800000000000;Apuseertaa;Apusêrtâ; ;Apuseertaa; ;RGI40-05.11354;G323767E65862N;-36.232799999999997;65.861599999999996;LGIC
;GGN0119;65.863000000000000;-52.522700000000000;Sermeralak; ; ;Sermeralak; ;RGI40-05.00268;G307470E65859N;-52.530000000000001;65.859099999999998;LGIC
;GGN0120;65.867300000000000;-38.377000000000002;Apuseerajik;Apusêrajik;Hann Gletsjer;Apuseerajik;Apuseerngai;RGI40-05.11257;G321575E65856N;-38.424900000000001;65.855500000000006;LGIC
;GGN0121;65.875699999999995;-37.403900000000000; ; ;Dobbeltbræen;Dobbeltbræen; ;RGI40-05.11365;G322578E65882N;-37.422400000000003;65.882199999999997;LGIC
;GGN0122;65.916700000000006;-36.549999999999997;Apusiiaajik;Apusiâjik; ;Apusiiaajik;"Apusiaajik; Apusiaai";RGI40-05.11398;G323454E65915N;-36.545900000000003;65.914500000000004;LGIC
;GGN0123;65.926800000000000;-36.580199999999998;Apusiigajik;Apusîgajik; ;Apusiigajik;"Apusiikajik; Apusiigai";RGI40-05.11414;G323425E65926N;-36.575499999999998;65.925799999999995;LGIC
;GGN0124;65.928100000000001;-52.430799999999998;Sermitsiaq Kangilleq; ; ;Sermitsiaq Kangilleq; ;RGI40-05.00828;G307587E65935N;-52.413499999999999;65.935199999999995;LGIC
;GGN0125;65.933300000000003;-51.799999999999997;Aalasaama;Aulasâma; ;Aalasaama; ;RGI40-05.00314;G308176E65918N;-51.824500000000000;65.917599999999993;LGIC
;GGN0126;65.935699999999997;-38.460099999999997;Kangertivala Apusiiala Qeqqarterpaartaa;Apusêrajik;Brückner Gletsjer;Kangertivala Apusiiala Qeqqarterpaartaa;"Apuseerajik; Kangertsivala Apusiiala Qeqqartserpaartaa"; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0127;65.944699999999997;-37.442200000000000;Apuseerajik;Apusêrajik; ;Apuseerajik;Apuseerngai;RGI40-05.11359;G322551E65918N;-37.449300000000001;65.918000000000006;LGIC
;GGN0128;65.961299999999994;-52.072099999999999;Inorersut Sermiat; ; ;Inorersut Sermiat; ;RGI40-05.00310;G307955E65949N;-52.045099999999998;65.949299999999994;LGIC
;GGN0129;65.963200000000001;-52.262099999999997;Taateraatsiaat Sermiat;Tâterâtsiait Sermiat; ;Taateraatsiaat Sermiat;Taateraat Sermiat Killeq;RGI40-05.00818;G307687E65965N;-52.313499999999998;65.964500000000001;LGIC
;GGN0130;65.964900000000000;-52.562300000000000;Sisuugussiviup Sermia;Sisûgússiviup Sermia; ;Sisuugussiviup Sermia; ;RGI40-05.00303;G307450E65956N;-52.550400000000003;65.956199999999995;LGIC
;GGN0131;65.966700000000003;-52.500000000000000;Sermitaq Ammalortoq;Sermitaq Angmalortoq; ;Sermitaq Ammalortoq; ;RGI40-05.00839;G307519E65964N;-52.480899999999998;65.964200000000005;LGIC
;GGN0132;65.983300000000000;-52.299999999999997;Itillineq;Itivdlineq; ;Itillineq; ;RGI40-05.00818;G307687E65965N;-52.313499999999998;65.964500000000001;LGIC
;GGN0133;65.986599999999996;-38.449599999999997;Kangertsivala Apusiia; ;Heim Gletsjer;Kangertsivala Apusiia; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0134;65.990600000000001;-51.894599999999997;Tapa;Tapa; ;Tapa; ;RGI40-05.00304;G308045E65929N;-51.954999999999998;65.929299999999998;LGIC
;GGN0135;66.005300000000005;-52.453099999999999;Taateraat Sermiat;Tâterât Sermiat; ;Taateraat Sermiat; ;RGI40-05.00800;G307859E66095N;-52.140999999999998;66.094499999999996;LGIC
;GGN0136;66.009600000000006;-38.364400000000003;Kattilertarpia;Kagtilersorpia; ;Kattilertarpia;"Kattilersorpia; Kaddilertsarpia"; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0137;66.012100000000004;-36.012799999999999;Apuseeq;Apusineq; ;Apuseeq;Apusineq;RGI40-05.13934;G323982E66014N;-36.017800000000001;66.013499999999993;LGIC
;GGN0138;66.015199999999993;-52.994700000000002;Sermeralak;Sermeralak; ;Sermeralak;Sermeralaa;RGI40-05.00854;G307077E66077N;-52.922899999999998;66.076499999999996;LGIC
;GGN0139;66.016700000000000;-52.200000000000003;Taateraatsiaat Sermiat;Tâterâtsiait Sermiat; ;Taateraatsiaat Sermiat;Taateraat Sermiat Kangilleq;RGI40-05.00798;G307793E66027N;-52.206899999999997;66.027000000000001;LGIC
;GGN0140;66.016700000000000;-52.816699999999997;Sermitsiaq;Sermitsiaq; ;Sermitsiaq; ;RGI40-05.00817;G307554E66152N;-52.445900000000002;66.151899999999998;LGIC
;GGN0141;66.037199999999999;-52.059500000000000;Salliarusiarsuit Sermiat;Sagdliarusiarssuit Sermiat; ;Salliarusiarsuit Sermiat; ;RGI40-05.00824;G307940E66043N;-52.060200000000002;66.043000000000006;LGIC
;GGN0142;66.046899999999994;-36.318800000000003;Apuseerajik;Apusêrajik; ;Apuseerajik;Apuseerngaiid;RGI40-05.11639;G323695E66046N;-36.304699999999997;66.046300000000002;LGIC
;GGN0143;66.049300000000002;-52.482900000000001;Avannarliup Sermia;Avangnardliup Sermia; ;Avannarliup Sermia; ;RGI40-05.00831;G307600E66099N;-52.399999999999999;66.099299999999999;LGIC
;GGN0144;66.049999999999997;-52.000000000000000;Salliarutsit Sermiat;Sagdliarutsit Sermiat; ;Salliarutsit Sermiat; ;RGI40-05.00822;G308004E66062N;-51.995800000000003;66.061700000000002;LGIC
;GGN0145;66.060699999999997;-51.904200000000003;Ippattaq;Ípagtaq; ;Ippattaq; ;RGI40-05.00821;G308098E66060N;-51.902000000000001;66.059700000000007;LGIC
;GGN0146;66.069900000000004;-51.862900000000003;Nakkarajooq;Nákarajôq; ;Nakkarajooq; ;RGI40-05.00814;G308093E66087N;-51.906999999999996;66.087400000000002;LGIC
;GGN0147;66.085099999999997;-36.027999999999999; ; ;Stephan Gletsjer;Stephan Gletsjer; ;RGI40-05.13886;G323938E66079N;-36.062500000000000;66.079099999999997;LGIC
;GGN0148;66.112399999999994;-36.758899999999997; ; ;Kaarali Gletsjer;Kaarali Gletsjer; ;RGI40-05.13930;G323201E66153N;-36.798699999999997;66.152900000000002;LGIC
;GGN0149;66.130200000000002;-53.012999999999998; ; ;Fagerbræ;Fagerbræ; ;RGI40-05.00846;G307026E66114N;-52.974499999999999;66.114300000000000;LGIC
;GGN0150;66.132400000000004;-36.134300000000003; ; ;Idrac Gletsjer;Idrac Gletsjer; ;RGI40-05.13995;G323748E66257N;-36.252099999999999;66.257199999999997;LGIC
;GGN0151;66.183300000000003;-51.166699999999999; ; ;Quantum Gletsjer;Quantum Gletsjer; ;RGI40-05.00445;G308765E66141N;-51.235500000000002;66.141400000000004;LGIC
;GGN0152;66.183300000000003;-52.850000000000001; ; ;Dybe Rende;Dybe Rende; ;RGI40-05.00845;G307222E66172N;-52.777500000000003;66.171700000000001;LGIC
;GGN0153;66.186999999999998;-38.071399999999997;Apuseerajik;Apusêrajik; ;Apuseerajik;Apuseerngai; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0154;66.210099999999997;-36.221100000000000;Apuseeq;Apusêq;Knud Rasmussen Gletsjer;Apuseeq; ;RGI40-05.13995;G323748E66257N;-36.252099999999999;66.257199999999997;LGIC
;GGN0155;66.218299999999999;-52.725900000000003; ; ;Lyngbræ;Lyngbræ; ;RGI40-05.00809;G307316E66184N;-52.684100000000001;66.183599999999998;LGIC
;GGN0156;66.266700000000000;-51.383299999999998; ; ;Tasersiaq Gletsjer;Tasersiaq Gletsjer; ;RGI40-05.00794;G308453E66278N;-51.546599999999998;66.278099999999995;LGIC
;GGN0157;66.266700000000000;-52.633299999999998; ; ;Vimmelskaftet;Vimmelskaftet; ;RGI40-05.00844;G307452E66239N;-52.548400000000001;66.238900000000001;LGIC
;GGN0158;66.300200000000004;-36.742300000000000; ; ;16. September Gletsjer;16. September Gletsjer; ;RGI40-05.13916;G323299E66302N;-36.701000000000001;66.302400000000006;LGIC
;GGN0159;66.316699999999997;-51.416699999999999; ; ;Sarfartooq Gletsjer;Sarfartooq Gletsjer; ;RGI40-05.00794;G308453E66278N;-51.546599999999998;66.278099999999995;LGIC
;GGN0160;66.317599999999999;-35.790199999999999;Apuseerajik;Apusêrajik; ;Apuseerajik; ;RGI40-05.13978;G324231E66323N;-35.768900000000002;66.323099999999997;LGIC
;GGN0161;66.350399999999993;-52.558500000000002;Serminnguaq;Sermínguaq; ;Serminnguaq; ;RGI40-05.00793;G307609E66296N;-52.390700000000002;66.295900000000003;LGIC
;GGN0162;66.371399999999994;-36.167299999999997; ; ;Håbet Gletsjer;Håbet Gletsjer; ;RGI40-05.13995;G323748E66257N;-36.252099999999999;66.257199999999997;LGIC
;GGN0163;66.373500000000007;-38.306699999999999; ; ;Helheim Gletsjer;Helheim Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0164;66.380300000000005;-34.886299999999999;Tuttiliip Kattertarpia;Tugtilîp Kagtilersorpia; ;Tuttiliip Kattertarpia;"Tuttiliip Kattilersorpia; Tuddiliip Kaddilertsarpia";RGI40-05.13754;G325104E66415N;-34.896400000000000;66.414599999999993;LGIC
;GGN0165;66.382000000000005;-37.543900000000001;Apuseerajik;Apusêrajik;Fenris Gletsjer;Apuseerajik;Apuseerngai; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0166;66.387299999999996;-35.292900000000003;Nigertuluup Kattilertarpia Oqqorteq;Nigertulûp Kagtilersarpia orqorseq; ;Nigertuluup Kattilertarpia Oqqorteq;"Nigertuluup Kattilersorpia Oqqorseq; Ningertuluup Kaddilertsarpia Oqqortser";RGI40-05.13965;G324755E66481N;-35.245300000000000;66.480999999999995;LGIC
;GGN0167;66.433499999999995;-35.161400000000000;Nigertuluup Kattilertarpia Kiatteq;Nigertulûp Kagtilersarpia Kiáteq; ;Nigertuluup Kattilertarpia Kiatteq;"Nigertuluup Kattilersarpia Kiatteq; NIngertuluup Kaddilertsarpia Kiadder";RGI40-05.13965;G324755E66481N;-35.245300000000000;66.480999999999995;LGIC
;GGN0168;66.443600000000004;-36.738100000000003;Nigertiip Apusiia; ;Midgård Gletsjer;Nigertiip Apusiia;Ningertii apusiia; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0169;66.447500000000005;-35.722999999999999;Kattilertarpia;Kagtilersorpia; ;Kattilertarpia;"Kattilersorpia; Kaddilertsarpia";RGI40-05.13961;G324527E66490N;-35.473100000000002;66.490300000000005;LGIC
;GGN0170;66.500799999999998;-37.843600000000002; ; ;Skakt Gletsjer;Skakt Gletsjer; ;RGI40-05.12459;G322152E66557N;-37.848399999999998;66.557299999999998;LGIC
;GGN0171;66.505600000000001;-34.858800000000002;Sulussuulip Apusiia;Sulugssûtip Apusîa;K.J.V. Steenstrup Søndre Bræ;Sulussuulip Apusiia;"Sulussuutip Apusiia; Tsulutsuulip Apusiia";RGI40-05.13952;G325098E66512N;-34.902400000000000;66.512400000000000;LGIC
;GGN0172;66.514499999999998;-52.689300000000003;Serminnguaq;Sermínguaq; ;Serminnguaq; ;RGI40-05.00991;G307314E66506N;-52.686100000000003;66.506399999999999;LGIC
;GGN0173;66.520899999999997;-36.236100000000000;Kattilersorpia;Kagtilersorpia;Glacier de France;Kattilersorpia; ;RGI40-05.13983;G324091E66567N;-35.908999999999999;66.566800000000001;LGIC
;GGN0174;66.566500000000005;-36.767800000000001; ; ;Franche Comté Gletsjer;Franche Comté Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0175;66.595500000000001;-34.726999999999997; ; ;K.J.V. Steenstrup Nordre Bræ;K.J.V. Steenstrup Nordre Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0176;66.621899999999997;-36.116900000000001; ; ;Pourquoi-pas Gletsjer;Pourquoi-pas Gletsjer; ;RGI40-05.13983;G324091E66567N;-35.908999999999999;66.566800000000001;LGIC
;GGN0177;66.650000000000006;-36.666699999999999; ; ;Femstjernen;Femstjernen; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0178;66.731999999999999;-36.177900000000001; ; ;Champs Elysees Gletsjer;Champs Elysees Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0179;66.733300000000000;-37.066699999999997; ; ;Juragletsjeren;Juragletsjeren; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0180;66.791399999999996;-36.217799999999997; ; ;Kristian Gletsjer;Kristian Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0181;66.831199999999995;-36.834400000000002; ; ;Paris Gletsjer;Paris Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0182;66.883300000000006;-36.750000000000000; ; ;Bjørnegletsjer;Bjørnegletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0183;66.900000000000006;-37.250000000000000; ; ;Døren;Døren; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0184;66.930400000000006;-36.948999999999998; ; ;Forelporten;Forelporten; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0185;66.931500000000000;-36.676200000000001; ; ;Vinduet;Vinduet; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0186;66.936700000000002;-34.114800000000002; ; ;Laube Gletsjer;Laube Gletsjer; ;RGI40-05.12089;G325788E66942N;-34.212000000000003;66.941500000000005;LGIC
;GGN0187;66.966099999999997;-36.741000000000000; ; ;Nordgabet;Nordgabet; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0188;67.187500000000000;-50.171599999999998;Isunnguata Sermia;Isúnguata Sermia; ;Isunnguata Sermia; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0189;67.516700000000000;-49.916699999999999;Inuppaat Quuat;Inugpait Qûat; ;Inuppaat Quuat; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0190;67.877399999999994;-33.379899999999999; ; ;Søndre Parallelgletsjer;Søndre Parallelgletsjer; ;RGI40-05.12680;G326477E67858N;-33.522799999999997;67.858300000000000;LGIC
;GGN0191;67.893500000000003;-33.298299999999998; ; ;Nordre Parallelgletsjer;Nordre Parallelgletsjer; ;RGI40-05.12680;G326477E67858N;-33.522799999999997;67.858300000000000;LGIC
;GGN0192;67.942200000000000;-50.109000000000002; ; ;Geographical Union Gletsjer;Geographical Union Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0193;67.950000000000003;-32.450000000000003;Apuliliip Apusiia;Aputitêrtîp Apusîa;Polaric Gletsjer;Apuliliip Apusiia;"Aputiteertiip Apusiia; Apuliliip Apusiia";RGI40-05.12685;G327559E68005N;-32.440800000000003;68.004499999999993;LGIC
;GGN0194;67.950500000000005;-50.300500000000000;Usulluup Sermia;Usugdlûp Sermia;Poloniagletsjer;Usulluup Sermia; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0195;68.083299999999994;-50.266700000000000; ; ;J.P. Koch Gletsjer;J.P. Koch Gletsjer; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0196;68.110900000000001;-32.856000000000002; ; ;Hutchinson Gletsjer;Hutchinson Gletsjer; ;RGI40-05.12685;G327559E68005N;-32.440800000000003;68.004499999999993;LGIC
;GGN0197;68.116699999999994;-31.699999999999999; ; ;Tindegletsjer;Tindegletsjer; ;RGI40-05.12372;G328315E68124N;-31.684999999999999;68.123500000000007;LGIC
;GGN0198;68.125799999999998;-31.685500000000001; ; ;Brødregletsjer;Brødregletsjer; ;RGI40-05.12372;G328315E68124N;-31.684999999999999;68.123500000000007;LGIC
;GGN0199;68.128100000000003;-31.613000000000000; ; ;Hammer Gletsjer;Hammer Gletsjer; ;RGI40-05.12414;G328401E68133N;-31.599000000000000;68.133200000000002;LGIC
;GGN0200;68.140900000000002;-31.675200000000000; ; ;Basisgletsjer;Basisgletsjer; ;RGI40-05.12402;G328322E68141N;-31.678300000000000;68.140500000000003;LGIC
;GGN0201;68.154499999999999;-31.573899999999998; ; ;Udløberen;Udløberen; ;RGI40-05.12567;G328426E68160N;-31.574000000000002;68.160300000000007;LGIC
;GGN0202;68.175799999999995;-31.640400000000000; ; ;Forbindelsesgletsjer;Forbindelsesgletsjer; ;RGI40-05.12568;G328377E68172N;-31.623400000000000;68.171899999999994;LGIC
;GGN0203;68.223600000000005;-31.665800000000001; ; ;Dobbeltgletsjeren;Dobbeltgletsjeren; ;RGI40-05.12692;G328363E68219N;-31.636900000000001;68.218599999999995;LGIC
;GGN0204;68.255799999999994;-30.928300000000000; ; ;Schelderup Gletsjer;Schelderup Gletsjer; ;RGI40-05.12852;G328959E68281N;-31.041000000000000;68.281400000000005;LGIC
;GGN0205;68.267899999999997;-32.397399999999998; ; ;Søndre Syenitgletsjer;Søndre Syenitgletsjer; ;RGI40-05.12686;G327585E68274N;-32.414600000000000;68.274400000000000;LGIC
;GGN0206;68.291200000000003;-32.778700000000001; ; ;Hovedvejen;Hovedvejen; ;RGI40-05.12903;G327175E68227N;-32.824800000000003;68.226500000000001;LGIC
;GGN0207;68.305400000000006;-32.378999999999998; ; ;Nordre Syenitgletsjer;Nordre Syenitgletsjer; ;RGI40-05.12906;G327622E68308N;-32.377899999999997;68.308400000000006;LGIC
