id_lake,lon,lat,dist_along_track_m,manual,predicted_depth,surrf_2024,surrf_corr,surrf_corr_conf,RTE_Landsat8_red_pan,RTE_Sentinel2_red,watta,DEM_zeroed,Green_z_lit,Red_z_lit,STD_high,STD_low,Z_green,Z_green_max_stdev_mean,Z_green_min_stdev_mean,Z_red,Z_red_max_stdev_mean,Z_red_min_stdev_mean
lake_greenland_melling_1,-49.13773405366555,67.08181477707855,1121.5,0.0,0.0,0.0,0.0,0.8133306302643108,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.1377207800304,67.0818593114125,1116.5,0.0,0.6361569079848386,0.0,0.0,0.773776329676925,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.13770749891357,67.08190384542006,1111.5,0.0,0.7791857002414432,0.0,0.0,0.7391401157198759,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.13769425051286,67.08194838081623,1106.5,0.0,0.7575006546806364,0.0497338354216685,0.0252443232707345,0.3116647835688233,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.13768102171951,67.08199291704463,1101.5,0.0,0.597366225690514,0.1225368506715413,0.0905429211130853,0.410418753967793,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.13766781564844,67.08203745437842,1096.5,0.0,0.5694296451938263,,0.1654061023909932,0.6413337078036481,,,,,,,,,,,,,,
lake_greenland_melling_1,-49.13765462812229,67.0820819926144,1091.5,0.0691936843794789,0.5764721081231158,,0.2410988762931825,0.6858216716952419,,,,-0.0600625,2.231550252,1.137649354,0.0995883369754928,0.0387990317834651,1.625622439,2.538953097,0.644717195,0.827828109,1.093404954,0.561335271
lake_greenland_melling_1,-49.13764147552212,67.08212653232721,1086.5,0.2321402860988769,1.0013922330285023,,0.3172355183845761,0.6814858874128086,,,,-0.0263728499793502,2.855634719,1.444048303,0.2999949817927203,0.1642855904050335,2.080429271,3.034035006,1.086177128,1.050873507,1.346514182,0.767522673
lake_greenland_melling_1,-49.13762834758226,67.08217107314103,1081.5,0.3822433130131255,1.126875871728532,,0.3952114765551535,0.6700155247666918,,,,0.088375,3.157388948,1.626480794,0.4796875968865297,0.2847990294666326,2.30036799,3.275587259,1.297524488,1.183703916,1.498869231,0.88869298
lake_greenland_melling_1,-49.137615259542656,67.0822156158127,1076.5,0.523448158092144,1.3683102242896101,,0.4734122884868045,0.6464532615828743,,,,0.1548361254096597,3.157388948,1.626480794,0.6450277515804241,0.4018685654842758,2.30036799,3.275587259,1.297524488,1.183703916,1.498869231,0.88869298
