lake_id,dist_along_track_m,lon,lat,manual,surrf_2024,RTE_Sentinel2_red,RTE_Landsat8_red_pan,watta,surrf_corr,surrf_corr_conf
1,242.0,67.25959749401711,-72.9890154659454,0.0,0.0,0.0,0.0,,0.0,0.9996625002450088
1,247.0,67.25957572470935,-72.989059825082,0.0,0.0,0.0,0.0,,0.0,0.99806255131385
1,252.0,67.25955426826451,-72.9891041980518,0.0,0.0,0.0,0.0,,0.0,0.9961234979598342
1,257.0,67.25953316429656,-72.98914858660636,0.0,0.0,0.0,0.0,,0.0,0.9922818823107142
1,262.0,67.25951233177364,-72.98919297499809,0.0,0.0,0.0,0.0,,0.0,0.9856885409114332
1,267.0,67.25949177322691,-72.98923736322548,0.0,0.0,0.0,0.0,,0.0,0.9760427261997723
1,272.0,67.2594716279534,-72.98928175133398,0.0,0.0,0.0,0.0,,0.0,0.962209629858
1,277.0,67.25945185521812,-72.98932613933526,0.0,0.0,0.0,0.0,,0.0,0.9436160630609571
1,282.0,67.25943166119038,-72.98937052458545,0.0,0.0,0.0,0.0,,0.0,0.9205163731259148
1,287.0,67.25941086535674,-72.98941490590576,0.0,0.0,0.0,0.0106550824381548,,0.0,0.8938099568237514
1,292.0,67.25938985310077,-72.98945929343991,0.0,0.0,0.0,0.0497230253576265,,0.0,0.8652780133435899
1,297.0,67.25936833677837,-72.98950369544663,0.0,0.0804263975797307,0.0,0.0888037063885038,,0.0,0.8375424183546376
1,302.0,67.25934707814834,-72.98954809700064,0.0610394404550899,0.3564334478899763,0.0668184021019948,0.1278839889618824,,0.06602509083812384,0.8136777396099437
1,307.0,67.25932637268575,-72.98959249758283,0.419128888308207,0.6464450363339074,0.3481611918633226,0.1669634161986784,0.179599666130287,0.3924959786649242,0.7957764326674777
1,312.0,67.25930564672142,-72.98963688774654,0.7717094330047823,0.9207667461165656,0.6617834681894084,0.2060336735450961,0.5654335941695303,0.7555243386842452,0.7853102391458239
1,317.0,67.259284898256,-72.98968126647577,1.0272261363540427,1.170772097476126,0.8910359919238696,0.2450938667526734,0.9833496676316148,1.0647650539424212,0.7822966506952433
1,322.0,67.25926410620272,-72.98972565022063,1.2710505832262895,1.3902551673350816,1.080167379454218,0.2933556973523901,1.366372757067796,1.3177313079564628,0.7855350526708361
1,327.0,67.2592432706503,-72.98977003897096,1.471647847191991,1.5787275276067347,1.1598003609287002,0.3485292343484625,1.6164568348504438,1.5167734850279289,0.7930072720430106
1,332.0,67.2592225250792,-72.98981442574978,1.6080368146980966,1.736726980846658,1.2283333820010611,0.4037003208380328,1.7777502429070464,1.6750661131189828,0.8024402032692662
1,337.0,67.25920186309813,-72.98985881069713,1.7052687594764464,1.8661356529543212,1.269103713729569,0.458869130878634,1.7955086689710298,1.7922434714564381,0.8119303455822579
1,342.0,67.25918107371001,-72.98990319864986,1.766606038293118,1.9703450324206289,1.3046115964480984,0.5140416764914684,1.8365300114171668,1.881892389462169,0.8204189433345159
1,347.0,67.25916017345915,-72.9899475892177,1.81272608463982,2.0573173155205677,1.306207320307505,0.5692174725981499,1.8298300763212616,1.9556388662078705,0.8280601140862152
1,352.0,67.25913911077998,-72.98999196985613,1.8610161971621428,2.1369621620286243,1.3116577017528304,0.6242811533288145,1.840339281114849,2.021484423176736,0.8354155260061379
1,357.0,67.25911781330461,-72.99003633614122,1.926516683426747,2.2176122938928016,1.366271296400027,0.6702560844813581,2.1112236376763294,2.085857828355398,0.8433251269182336
1,362.0,67.25909650062245,-72.99008070239931,2.022477493483943,2.3015074824633555,1.4140676340030225,0.714700917087458,2.3401644981746013,2.157377006128945,0.8526152375464041
1,367.0,67.25907516670644,-72.99012506861975,2.1460556239555637,2.387718676961529,1.4150418479738014,0.7591457119543416,2.312665203668561,2.238181634298709,0.8638259020690535
1,372.0,67.25905382925481,-72.99016943446554,2.2623413277881843,2.472635887283789,1.4172503717125742,0.803590131514711,2.236613837011994,2.31737276695156,0.8690799674180512
1,377.0,67.259032470896,-72.99021379809594,2.3365636594512216,2.5493958904609597,1.455145793072502,0.8329997370004152,2.4006831963150304,2.384583924340128,0.864068636135416
1,382.0,67.25901110910243,-72.9902581625147,2.3781546504826383,2.6064424030911866,1.4990351521354384,0.8395458811456135,2.7187098339397626,2.437429361111354,0.8996277590876479
1,387.0,67.25898974290439,-72.99030252798917,2.392393727773885,2.6353812704454564,1.514555013101998,0.8460921810612209,2.7239529823284503,2.476681854785902,0.9087751299439756
1,392.0,67.2589683837533,-72.99034689418394,2.391320302341154,2.638574866064425,1.5292783357544797,0.8526385872628152,2.4690870455735228,2.4937574067706088,0.9151521620187759
1,397.0,67.25894703370824,-72.99039126130951,2.3830127939902868,2.61954673712144,1.538228922132041,0.8591851308063294,2.367388295591913,2.484479463523298,0.9183145901175808
1,402.0,67.25892589543479,-72.99043562621338,2.3751123720914364,2.582689349986369,1.5479576754448745,0.8657313465292047,2.3960079513611388,2.459122729408268,0.9174373328215187
1,407.0,67.25890502734102,-72.99047998828279,2.360164646182943,2.5331943955193954,1.5477934320624431,0.8722771440162682,2.398560130345169,2.420555373068654,0.9122352072261339
1,412.0,67.25888385426816,-72.99052435370947,2.3279946828785234,2.474204340119453,1.537872071026523,0.8706629156348943,2.466992547206293,2.3747109484220807,0.9032001539193671
1,417.0,67.25886198268384,-72.99056872682552,2.279625979035972,2.4088694721810726,1.5285232446394734,0.8614347771903199,2.602189076394521,2.3130949280044066,0.8907507043800313
