lake_id,dist_along_track_m,lon,lat,manual,STD_high,STD_low,Z_green,Green_z_lit,Z_green_min_stdev_mean,Z_green_max_stdev_mean,Z_red,Red_z_lit,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DEM_zeroed,surrf_2024,surrf_corr,surrf_corr_conf
1,1306.5,-49.13822832166857,67.08016715045335,,,,,,,,,,,,,0.0,0.0,1.0
1,1301.5,-49.13821551320938,67.08021170560045,,,,,,,,,,,,,0.0,0.0,1.0
1,1296.5,-49.13820267006956,67.08025625926953,,,,,,,,,,,,,0.0,0.0,1.0
1,1291.5,-49.13818982692974,67.08030081293862,,,,,,,,,,,,,0.0,0.0,1.0
1,1286.5,-49.13817693191093,67.08034536420294,,,,,,,,,,,,,0.0,0.0,1.0
1,1281.5,-49.13816402526697,67.08038991492838,,,,,,,,,,,,,0.0,0.0,1.0
1,1276.5,-49.13815097589662,67.08043445932331,,,,,,,,,,,,,0.0,0.0,1.0
1,1271.5,-49.13813792358412,67.08047900358775,,,,,,,,,,,,,0.0,0.0,1.0
1,1266.5,-49.13812471535983,67.08052354077681,,,,,,,,,,,,,0.0,0.0,1.0
1,1261.5,-49.13811142372867,67.08056807418083,,,,,,,,,,,,,0.0,0.0,1.0
1,1256.5,-49.13809815917011,67.08061260889137,,,,,,,,,,,,,0.0,0.0,1.0
1,1251.5,-49.13808489373562,67.08065714356819,,,,,,,,,,,,,0.0,0.0,1.0
1,1246.5,-49.13807156428982,67.08070167528736,,,,,,,,,,,,,0.0,0.0,1.0
1,1241.5,-49.13805823484401,67.08074620700653,,,,,,,,,,,,,0.0,0.0,1.0
1,1236.5,-49.13804486672486,67.08079073703678,,,,,,,,,,,,,0.0,0.0,1.0
1,1231.5,-49.13803146376295,67.08083526554542,,,,,,,,,,,,,0.0,0.0,1.0
1,1226.5,-49.13801802197232,67.08087979222367,,,,,,,,,,,,,0.0,0.0,1.0
1,1221.5,-49.138004563154105,67.08092431809924,,,,,,,,,,,,,0.0,0.0,1.0
1,1216.5,-49.13799110316938,67.08096884392509,,,,,,,,,,,,,0.0,0.0,1.0
1,1211.5,-49.137977583457584,67.08101336720622,,,,,,,,,,,,,0.0,0.0,1.0
1,1206.5,-49.13796405824895,67.08105789020318,,,,,,,,,,,,,0.0,0.0,1.0
1,1201.5,-49.13795051991816,67.08110241253787,,,,,,,,,,,,,0.0,0.0,1.0
1,1196.5,-49.13793695221668,67.08114693360874,,,,,,,,,,,,,0.0,0.0,1.0
1,1191.5,-49.1379233845152,67.08119145467958,,,,,,,,,,,,,0.0,0.0,1.0
1,1186.5,-49.13790980408324,67.08123597513091,,,,,,,,,,,,,0.0,0.0,1.0
1,1181.5,-49.1378962119496,67.08128049501279,,,,,,,,,,,,,0.0,0.0,1.0
1,1176.5,-49.13788261848714,67.08132501487385,,,,,,,,,,,,,0.0,0.0,1.0
1,1171.5,-49.13786902128808,67.08136953467643,,,,,,,,,,,,,0.0,0.0,1.0
1,1166.5,-49.13785542434075,67.08141405444796,,,,,,,,,,,,,0.0,0.0,0.9986788656761394
1,1161.5,-49.13784182802804,67.08145857414124,,,,,,,,,,,,,0.0,0.0,0.9957141565493389
1,1156.5,-49.13782824199112,67.08150309437683,,,,,,,,,,,,,0.0,0.0,0.9905703474540223
1,1151.5,-49.13781465979408,67.08154761481507,,,,,,,,,,,,,0.0,0.0,0.9825640851837717
1,1146.5,-49.13780109704928,67.08159213607195,,,,,,,,,,,,,0.0,0.0,0.9700002924284812
1,1141.5,-49.13778754094741,67.08163665760839,,,,,,,,,,,,,0.0,0.0,0.9514090576249759
1,1136.5,-49.13777399996793,67.08168117988318,,,,,,,,,,,,,0.0,0.0,0.9259068903241006
1,1131.5,-49.1377604756137,67.0817257029697,,,,,,,,,,,,,0.0,0.0,0.893129951860523
1,1126.5,-49.1377472505783,67.08177023939739,,,,,,,,,,,,,0.0,0.0,0.8545727806933201
1,1121.5,-49.13773405366555,67.08181477707855,,,,,,,,,,,,,0.0,0.0,0.8133306302643108
1,1116.5,-49.1377207800304,67.0818593114125,,,,,,,,,,,,,0.0,0.0,0.773776329676925
1,1111.5,-49.13770749891357,67.08190384542006,,,,,,,,,,,,,0.0,0.0,0.7391401157198759
1,1106.5,-49.13769425051286,67.08194838081623,,,,,,,,,,,,,0.0497338354216685,0.025244323270734503,0.3116647835688233
1,1101.5,-49.13768102171951,67.08199291704463,,,,,,,,,,,,,0.1225368506715413,0.09054292111308537,0.41041875396779304
1,1096.5,-49.13766781564844,67.08203745437842,,,,,,,,,,,,,,0.16540610239099324,0.6413337078036481
1,1091.5,-49.13765462812229,67.0820819926144,0.0691936843794789,0.0995883369754928,0.0387990317834651,1.625622439,2.231550252,0.644717195,2.538953097,0.827828109,1.137649354,0.561335271,1.093404954,-0.0600625,,0.24109887629318258,0.6858216716952419
1,1086.5,-49.13764147552212,67.08212653232721,0.2321402860988769,0.2999949817927203,0.1642855904050335,2.080429271,2.855634719,1.086177128,3.034035006,1.050873507,1.444048303,0.767522673,1.346514182,-0.0263728499793502,,0.31723551838457614,0.6814858874128086
1,1081.5,-49.13762834758226,67.08217107314103,0.3822433130131255,0.4796875968865297,0.2847990294666326,2.30036799,3.157388948,1.297524488,3.275587259,1.183703916,1.626480794,0.88869298,1.498869231,0.088375,,0.39521147655515354,0.6700155247666918
